epoch,loss,val_loss
0,2509.1775361317063,2878.7478906830793
1,2270.3112258882334,2756.1069018575431
2,2835.6142225139497,2839.5631125295376
3,20432.74959922782,2908.7141584138699
4,2649.1317409171206,2985.1102953500026
5,4586.0942034435166,2904.7866434957787
6,9093.6350270462463,2833.2227587185375
7,3715.6745425750282,2884.2301269116397
8,182109.84860746757,2895.3973373114909
9,94430.015284018766,2902.4412189441509
10,2944.9586555823689,2898.6834041624629
11,78389.572285117538,2848.9431139898179
12,4108.5780684117235,2919.8440489011391
13,1878.785793098516,2806.4095446538804
14,4869.583530194177,2768.7089614544061
15,2027.0290552227846,2791.9527891769994
16,4108.8073454439618,2801.4997372947309
17,2290.8064208385313,2678.3712146794683
18,2408.1782207438614,2732.4187113357584
19,3116.8681824951632,2655.464395916857
20,1777.2725695750091,2650.6504798182614
21,1677.383345273091,2663.756942347135
22,1632.8433982356623,2563.5573848701679
23,1619.0787370565838,2391.1441112119664
24,1600.4346677060846,2315.1029145039029
25,1568.0875889283839,2456.2309422002772
26,1546.0388219307035,2368.4108153467168
27,1533.2742514864099,2451.0886866230021
28,1518.9582194425152,2215.9541272833476
29,1486.3440181722096,2091.0696252970342
30,1475.3086035653932,2006.8912289213506
31,1452.3961307213144,2051.5366869515651
32,1442.0845396128993,1840.1937695602896
33,1426.4491364711994,1785.0380589720953
34,1416.9468986537152,1703.0996359255523
35,1395.4893069355476,1815.1368416500172
36,1380.9778783387083,1599.6222688193634
37,1374.0233844600114,1614.3168302291313
38,1363.3737325700736,1453.4876889445161
39,1351.7369340296825,1514.0370823058822
40,1336.8647933735313,1409.5388319976469
41,1331.2548134826452,1389.1883046061889
42,1324.2273405657575,1309.4081208286593
43,1314.6279268304372,1345.3203122925738
44,1315.0565976768946,1349.8934805326373
45,1302.3762773144422,1327.9890024190042
46,1296.9351871385354,1258.3990810397529
47,1287.5858457283778,1312.5604587188695
48,1281.2393517499602,1361.8163031073273
49,1278.6368212816894,1307.8303905088414
50,1274.4001652856916,1332.0955462070876
51,1270.7558052520924,1346.0164765882209
52,1263.5029770594447,1306.240685423249
53,1260.7315285129339,1258.7746627146446
54,1252.0948198778578,1320.4937577162543
55,1247.6381939390822,1234.899749626218
56,1248.4553796833711,1322.6107071428453
57,1244.6931499799452,1218.4037835988943
58,1241.8055088825161,1273.7216292310793
59,1238.379352343492,1190.5823447228288
60,1235.0322946942315,1290.7249378343711
61,1231.1296705373416,1239.7290700752044
62,1233.1670694433999,1245.0048066870884
63,1230.6595459906009,1214.153334987903
64,1227.4611996815943,1179.3089786811511
65,1223.0638499852171,1169.7490537217236
66,1226.1030853835985,1253.4586769175307
