epoch,loss,val_loss
0,2557.9303632414353,2780.8824578012159
1,44631.657896082914,2969.6681573004062
2,2298634.9525963049,3028.8058312480089
3,29398714.736068547,2801.8229192249232
4,2321669.7096400708,2976.8633341436785
5,510486.83103869716,2984.6266932199846
6,522479.45425644296,2930.2600846464793
7,44293.701845681004,2910.3818118760619
8,7293571999.3748322,2906.6881015359495
9,6031093.2343454156,2874.5620434549569
10,13689413.473743178,2857.6953384282738
11,255243.253489211,2889.4514964969867
12,74838.914211666328,2837.9692070636083
13,6484.3914206919917,2869.134297256664
14,5450.5780528361229,2801.046995410903
15,23581.277495059123,2790.9214852461901
16,205815.93258893944,2741.0334993295987
17,68784.513676598377,2758.8165682498538
18,1858.616324183175,2627.5731628469825
19,7125.1228052919068,2612.0416607204493
20,1719.6231909723451,2715.0092505857715
21,1690.8905601861477,2717.8218128136282
22,1656.0308152195551,2442.3652380049584
23,1618.8348143517453,2444.493850435761
24,1816.1410180765442,2479.9981208224367
25,1610.0794396175443,2319.406509490163
26,1586.8841686832,2499.1967281837433
27,1631.8906516582392,2350.1587121488687
28,1522.4577339952871,2031.1415101912635
29,1507.5496246234206,2052.4155880159105
30,1488.9557658476665,2039.9884891947549
31,1501.372204986146,1994.8354275427132
32,1458.420828462502,2044.2498944200695
33,1443.515716679459,1804.0546688316429
34,1426.1876573919035,1681.3285164132196
35,1424.8866007118327,1599.4310918790159
36,1398.303815012925,1654.7649871644674
37,1406.2805107580396,1561.6311352518319
38,1373.1577588747743,1508.2472746272965
39,1378.3069017697569,1469.9266704342176
40,1362.5943587847862,1474.1437341111539
41,1350.1368662804286,1414.3107719324155
42,1348.0758623675429,1411.2973751045429
43,1328.3509418952685,1398.2602245035876
44,1320.2353692578567,1404.3672008789893
45,1309.1254848020849,1296.3723718064664
46,1306.8125424181665,1308.3874476974863
47,1300.0239653653944,1357.5594391154352
48,1294.0540253296128,1282.4613994899805
49,1286.6136662852948,1405.6126048850526
50,1285.4890612281463,1210.372493980492
51,1278.7017499233202,1316.6515476482848
52,1270.9114138645332,1273.2727275320101
53,1266.0336611306006,1244.151032660913
54,1262.2741685163844,1275.5859564276398
55,1256.8393706296156,1272.3833724988549
56,1252.1085855059914,1259.8044766512785
57,1248.1602830667232,1235.849672380705
58,1246.015266669026,1228.0848290663
59,1244.5159258210645,1254.4365776794486
60,1236.8928638312807,1229.5517966011973
61,1237.6642043623847,1207.0539281127203
62,1234.4062667737235,1237.4628651634353
63,1230.844527996635,1181.4254772150628
64,1228.0723742164275,1194.3422174834557
65,1226.4952638884588,1224.1670998416923
66,1226.7018679384466,1185.7630105484513
67,1221.3898055989953,1229.3388138271127
68,1222.0240603857735,1228.1031387834703
69,1218.048830406042,1252.6509285329657
70,1218.54603877919,1193.7586767412183
71,1216.6395332103136,1219.3624008813954
72,1216.0738599121278,1200.4142520356806
73,1212.9875769609773,1216.1107603995194
74,1213.5621043659237,1182.2968297810908
75,1210.0622332793625,1201.6174007341228
76,1211.1662806866977,1171.6679755432076
77,1208.2541727632699,1162.6514096061558
78,1210.1781104934939,1190.2120941602891
79,1207.1208497245791,1198.1630543568626
80,1203.5821538041698,1171.5266269369458
81,1204.7754054402531,1192.1957478875718
82,1203.0588896403272,1167.5269361056812
83,1204.854430576323,1193.4941393285862
84,1202.4152996081953,1184.1032119530587
85,1203.6207502803609,1172.0656707685887
86,1200.2418535462232,1226.0545523099811
87,1197.0691407586369,1176.0843976716826
88,1199.2062466406471,1194.9962720846663
89,1198.0977892416654,1173.0402788990316
90,1199.5742850615061,1179.9056914012717
91,1194.9295410985719,1215.8695507584332
92,1195.2040831989593,1167.163745604639
93,1197.5306904304248,1166.6264839269595
94,1192.9528404918424,1173.9182847119432
95,1193.3155567807132,1175.4398849863264
