epoch,acc,fbeta_score,loss,matthews_correlation,val_acc,val_fbeta_score,val_loss,val_matthews_correlation
0,0.25245018291911964,0.5104680737254762,4.0760740773831516,0.2607499222848802,0.28121957944707621,0.42507708502599806,3.1904031140263225,0.21489690891833266
1,0.53344350890143566,0.48612067135054043,1.953711829323151,0.21675716888150143,0.59530320677979454,0.40640673620496504,0.70930774569866262,0.20187007244890898
2,0.64517581798603629,0.4907422032023338,0.84427273045713014,0.22563517754000159,0.59818700517837209,0.43440240331856211,0.6302402782169324,0.20278632121228155
3,0.66585258430150729,0.50797834357130733,0.63024080148498041,0.26521903433740479,0.61418716273894358,0.45710619150543486,0.62848150217119303,0.24055090365962301
4,0.72043313679437548,0.53688194748929818,0.55813548803895185,0.36893499672889196,0.60825638515871694,0.43324281463686531,0.65256425542885677,0.23144239578209835
5,0.72060375681961131,nan,0.54438996962649711,0.36296053657324201,0.62007855185089067,0.46886499992436093,0.61282782497656985,0.25320728839993595
6,0.73186467847855807,0.56250812496814562,0.51897036535064001,0.39874298850472345,0.66202726806824752,0.62353006809000888,0.635784512599045,0.32135030141638349
7,0.75017458793800262,0.60974159329393385,0.48641318284974538,0.44699084017738822,0.70449928818576657,0.6598422964686298,0.596726395861508,0.40883356348634531
8,0.75804691653335621,0.63300877701677927,0.47300804163684584,0.46798585587140212,0.72066825345076657,0.69836364163925102,0.61400329517277252,0.43958130224758502
9,0.72524224075723231,nan,0.51955844266197571,0.37796362663432553,0.59730076470563931,0.37859948842980889,0.58982167720373424,0.21764905345458455
10,0.74491314250106722,0.59773808257865935,0.49551283739060614,0.43420728001491349,0.60796097166188079,0.41804561156168929,0.58803603659596893,0.23564402591581005
11,0.76490346081181504,0.64197321285054787,0.46212118081320114,0.48323954082021786,0.69163614059718481,0.62487075969014139,0.57487573430478844,0.38782600440886139
12,0.76849640111115092,0.64667253300526673,0.45157319671238622,0.49227652351192369,0.64721439141805437,0.55130727605824481,0.60740962288035516,0.29940662236622245
13,0.77621794922618181,0.66385989795416178,0.44221532394697172,0.51067425349859852,0.65757355795375516,0.57199502565897009,0.62035403776058273,0.3193879939165758
